status,product_name,manufacturer,description
Enabled,CA Oblicore Guarantee Appliance for MSPs 10 Contracts,CA Technologies - Virtualization & Automation,
Enabled,CA Oblicore Guarantee Appliance for MSPs 25 Contracts,CA Technologies - Virtualization & Automation,
Enabled,CA Oblicore Guarantee Appliance for MSPs 50 Contracts,CA Technologies - Virtualization & Automation,
Enabled,CA Service Desk Manager Cloud Appliance for MSPs 15 Users,CA Technologies - Virtualization & Automation,
Enabled,CA Service Desk Manager Cloud Appliance for MSPs 25 Users,CA Technologies - Virtualization & Automation,
Enabled,CA Software Change Manager Cloud Appliance for MSPs 20 users,CA Technologies,
Enabled,CA Software Change Manager Cloud Appliance for MSPs 30 users,CA Technologies,
Enabled,ScaleUp INNET Appliance,ScaleUp Cloud Technologies GmbH T,
Enabled,OpenGeo Suite 2.4,"Skygone, Inc. T",
Enabled,CA Process Automation Connector for CA CMDB ,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation Connector for CA eHealth,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation Connector for CA Workload Automation AE r11,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation Connector for CA Workload Automation AE r11.3,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation MSP Connector for Amazon Web Services,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation MSP Connector for BMC Remedy,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation MSP Connector for IBM i5/OS,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation MSP Connector for Microsoft Hyper-V,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation MSP Connector for VMware vSphere,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation Connector for Amazon Web Services,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation Connector for BMC Remedy,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation Connector for IBM i5/OS ,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation Connector for Microsoft Hyper-V ,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation Connector for VMware vSphere,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation Connector for CA Spectrum,CA Technologies - Virtualization & Automation,
Enabled,Radix SharePoint Standard Edition Template - Coming Soon,Radix Technologies  SA T,
Enabled,ScaleMatrix Private Cloud - 4 CPU Development Grid,ScaleMatrix,
Enabled,"ScaleMatrix Private Cloud - 4 Server, 8 CPU",ScaleMatrix,
Enabled,"ScaleMatrix Private Cloud - 6 Server, 12 CPU",ScaleMatrix,
Enabled,ScaleUp WORDPRESS Application,ScaleUp Cloud Technologies GmbH T,
Enabled,VENE Project Resource Workload Management,Acolyst,
Enabled,"VENE Requirement, Configuration and Setup Services",Acolyst,
Enabled,Radix Exchange Standard Edition Template,Radix Technologies  SA T,
Enabled,"ScaleMatrix Private Cloud - 8 Server, 16 CPU",ScaleMatrix,
Enabled,Radix Exchange Enterprise Edition Template,Radix Technologies  SA T,
Enabled,Radix AppLogic SharePoint and Exchange Template Support,Radix Technologies  SA T,
Enabled,CorePLUS Setup and Configuration Packaged Service,"CPW Group, Inc., dba CorePLUS T",
Enabled,Cloud Control Panel (CCP) 2.9,DNS Europe,
Enabled,CentOS Source Repository,CA Technologies - AppLogic Appliances,
